publikacija_id,autor_id
167891,12360
167891,12361
167891,12362
167891,12363
167900,9119
167904,12364
167916,8704
167932,11259
167935,12365
167940,9963
167947,12366
167947,12367
167951,9474
167954,227
167954,1751
167956,12368
167957,1009
167962,383
167965,12369
167965,12370
167972,552
167974,157
167988,203
167989,222
167994,2404
168000,319
168007,12371
168008,74
168015,5760
168015,12372
168016,12373
168017,2452
168018,7974
168023,663
168030,12374
168037,1612
168038,346
168043,5826
168056,12375
168058,11635
168068,409
168068,8353
168072,1751
168077,10050
168080,4500
168081,1299
168089,1986
168103,4135
168112,699
168119,815
168131,1507
168134,1082
168144,2307
168145,804
168146,12376
168153,95
168175,848
168177,870
168179,12377
168180,12378
168200,12379
168200,12380
168206,1572
168214,10580
168217,3110
168223,1940
168231,1832
168233,12381
168239,12382
168251,556
168259,12383
168260,679
168262,140
168265,656
168274,4304
168275,12384
168279,12385
168285,12386
168286,12387
168307,5466
168309,100
168310,587
168323,1121
168325,12388
168327,848
168334,150
168336,346
168339,291
168340,1316
168345,12389
168359,11400
168359,11401
168365,136
168368,240
168374,447
168375,556
168380,1539
168386,712
168389,12390
168393,409
168393,5569
168394,9571
168398,3392
168400,12391
168403,409
168434,39
168440,4251
168442,1971
168444,9849
168448,6259
168452,57
168465,12392
168482,12393
168484,5746
168491,6147
168492,12394
168496,1916
168507,4928
168514,541
168519,12395
168519,12396
168520,629
168521,1457
168522,508
168541,2012
168542,7860
168545,150
168550,319
168552,2861
168552,12397
168554,11258
168557,432
168561,7388
168564,150
168574,1695
168575,1556
168595,255
168596,12398
168600,960
168600,12399
168608,4292
168610,1556
168615,645
168628,7585
168632,12400
168635,12401
168638,7035
168641,211
168656,12402
168659,44
168664,1072
168665,2265
168682,161
168683,1957
168686,1143
168688,11461
168695,2504
168701,987
168708,2838
168726,12294
168733,12403
168733,12404
168736,12405
168741,307
168761,24
168763,345
168767,12406
168769,8490
168770,5531
168770,8277
168770,12407
168770,12408
168770,12409
168770,12410
168770,12411
168789,8708
168801,553
168803,150
168810,12412
168817,4222
168822,12413
168822,12414
168828,195
168844,1574
168847,12415
168847,12416
168852,10050
168854,185
168859,135
168864,8621
168865,3066
168871,12417
168882,1810
168883,99
168888,663
168890,2140
168895,12418
168898,12419
168898,12420
168900,711
168901,11287
168902,1797
168904,12421
168906,12422
168916,816
168921,6992
168930,24
168936,10125
168953,4268
168982,215
168983,1058
168986,6282
168986,12041
168986,12423
168987,22
168992,3870
169000,12424
169003,1437
169005,210
169007,12425
169025,1834
169029,57
169035,3779
169057,1136
169066,562
169073,482
169079,6718
169085,150
169088,6487
169088,6488
169093,12426
169094,185
169123,7188
169126,1538
169129,12427
169146,1658
169158,3514
169163,1916
169171,1548
169183,75
169185,12428
169192,431
169197,5073
169199,12429
169199,12430
169200,649
169209,611
169216,870
169224,12431
169244,12432
169245,1061
169264,12433
169273,3186
169282,12434
169295,8785
169296,12435
169297,1022
169299,12282
169301,12436
169303,7
169325,842
169330,788
169335,966
169337,856
169337,3170
169337,3172
169337,12437
169337,12438
169337,12439
169337,12440
169337,12441
169337,12442
169337,12443
169337,12444
169337,12445
169337,12446
169354,721
169369,12447
169381,12448
169383,362
169384,12449
169387,12450
169403,957
169409,1457
169412,2451
169418,8999
169421,62
169422,501
169430,4679
169440,1061
169441,12451
169443,12452
169449,5342
169471,12453
169473,8252
169485,1331
169488,10403
169499,53
169501,649
169506,12454
169509,1271
169512,2089
169513,549
169514,587
169516,11646
169520,6403
169527,12455
169529,1702
169531,5047
169591,200
169592,2074
169595,35
169603,721
169606,891
169612,12456
169613,846
169623,44
169632,1020
169636,1830
169640,4799
169660,1887
169666,4912
169670,1957
169674,7549
169677,411
169699,804
169704,6787
169709,265
169725,4537
169729,52
169732,12457
169749,12458
169755,4303
169769,8992
169770,749
169776,12459
169777,11271
169780,721
169788,12460
169792,3877
169800,280
169803,4570
169803,4571
169808,669
169811,132
169821,1316
169822,1845
169836,12461
169853,291
169862,802
169867,291
169868,1563
169870,267
169871,245
169874,12462
169878,346
169893,674
169901,6787
169902,12463
169911,12464
169912,3442
169914,1370
169920,5122
169930,668
169932,12465
169936,446
169936,447
169937,935
169942,8384
169944,2853
169944,3181
169951,5660
169958,205
169962,12466
169979,39
169987,6254
169996,663
169997,6193
170001,551
170027,12467
170030,2411
170031,9482
170036,3218
170039,15
170041,12468
170041,12469
170046,544
170049,161
170065,12470
170070,284
170071,160
170072,361
170081,11630
170086,5932
170091,12471
170100,12472
170110,6181
170111,9223
170117,12473
170119,12474
170121,6125
170124,2307
170143,978
170144,669
170152,36
170154,189
170158,431
170161,1821
170167,1259
170170,2444
170174,2353
170175,79
170176,3203
170189,12475
170191,74
170202,6573
170205,12476
170219,2339
170220,3385
170223,12477
170234,721
170237,12478
170238,3277
170244,721
170249,1846
170256,556
170271,1558
170275,12479
170279,6213
170279,12480
170281,203
170283,1832
170291,12481
170293,12482
170303,12483
170304,12484
170311,12485
170314,5612
170321,669
170323,161
170328,5299
170335,158
170343,6723
170343,12486
170344,12487
170348,599
170348,600
170350,5628
170356,1723
170361,11494
170361,12488
170369,663
170371,10936
170377,2276
170378,194
170384,12489
170394,1583
170397,4851
170400,109
170401,12490
170408,12491
170412,12492
170414,992
170433,6147
170439,12493
170445,556
170447,987
170450,12494
170453,5207
170458,788
170459,140
170465,3032
170472,693
170489,409
170500,144
170504,5289
170515,12495
170520,679
170538,612
170551,1223
170554,5016
170556,12496
170562,3032
170567,2404
170576,4662
170577,2802
170578,12497
170580,3845
170593,2770
170603,12498
170604,8799
170610,1766
170612,669
170617,2324
170634,157
170635,12499
170637,12500
170641,3043
170642,12501
170651,2418
170663,3262
170669,1001
170670,7173
170674,617
170677,1469
170683,2012
170689,12502
170699,12503
170704,157
170707,2649
170711,12504
170719,552
170720,2276
170722,74
170735,2770
170740,12505
170750,9170
170758,12506
170761,1065
170761,5548
170762,125
170773,2888
170775,2424
170776,54
170785,160
170787,4955
170789,1065
170790,8632
170791,8420
170794,587
170797,8935
170805,353
170814,12507
170815,7404
170826,12508
170826,12509
170837,12510
170843,284
170846,12511
170857,5431
170864,12512
170879,1303
170881,12513
170888,574
170903,3380
170907,12514
170909,1267
170912,11557
170918,9568
170921,12515
170923,1058
170930,2267
170932,12516
170932,12517
170933,12034
170940,1071
170940,1072
170950,501
170951,6336
170953,11977
170959,7156
170964,587
170966,4751
170970,12518
170977,2168
170978,1128
170983,12519
170985,242
170988,199
170993,531
170997,746
171005,1776
171008,1979
171014,12520
171020,12114
171021,8881
171023,144
171024,798
171027,7849
171027,10913
171031,549
171033,1584
171040,6097
171043,846
171044,12521
171045,3446
171048,99
171052,7
171057,12522
171059,7281
171065,12523
171071,5228
171078,4727
171082,6018
171084,1096
171089,200
171106,1368
171108,12524
171113,2302
171113,2303
171115,12525
171117,222
171119,4435
171124,6784
171126,2758
171128,1695
171131,1512
171132,12526
171134,12527
171134,12528
171134,12529
171139,689
171140,1733
171144,804
171145,7916
171146,67
171150,135
171157,9965
171165,1208
171170,135
171172,9189
171173,2773
171180,1033
171185,949
171197,7302
171200,728
171207,12422
171216,12530
171216,12531
171217,12532
171218,669
171226,2858
171226,2859
171228,291
171229,231
171232,3066
171241,12533
171244,91
171252,1130
171252,2028
171252,2320
171252,9928
171252,12534
171252,12535
171252,12536
171252,12537
171252,12538
171252,12539
171252,12540
171252,12541
171253,3493
171256,9575
171266,7580
171267,12542
171285,12543
171285,12544
171298,2803
171315,556
171318,7636
171319,3537
171325,1891
171359,4912
171369,12545
171409,4156
171410,99
171424,649
171428,658
171435,44
171451,12546
171454,1916
171459,12547
171464,275
171466,3591
171474,781
171483,3439
